"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1878,2044293,13500,61,"13500_61","Central and Southern Appalachian Spruce-Fir Forest","Conifer",834,12028,NA,780,93,7,NA,"V-B",144,43,181,0.564705882,0.168627451,0.709803922,454640,26.6
"2",1870,1577375,13030,61,"13030_61_63_64_65_66","Northeastern Interior Dry-Mesic Oak Forest","Hardwood",39,24,9,6,14,23,63,"I-B",215,185,100,0.843137255,0.725490196,0.392156863,350800,20.5
"3",1883,1340287,13700,61,"13700_53_61_62","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1036,1083,NA,529,51,49,NA,"V-B",214,255,145,0.839215686,1,0.568627451,298073,17.5
"4",1874,848870,13180,61,"13180_57_59_61","Southern and Central Appalachian Cove Forest","Hardwood",994,498,100,77,8,15,77,"III-A",138,177,255,0.541176471,0.694117647,1,188784,11.1
"5",1875,567500,13200,61,"13200_48_57_61","Central and Southern Appalachian Montane Oak Forest","Hardwood",147,95,33,21,14,22,64,"I-C",180,130,180,0.705882353,0.509803922,0.705882353,126209,7.4
"6",1888,485361,14720,61,"14720_61_62_63","Central Interior and Appalachian Riparian Systems","Riparian",1001,NA,200,166,17,NA,83,"III-B",36,255,20,0.141176471,1,0.078431373,107942,6.3
"7",1882,452744,13690,61,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745098,100688,5.9
"8",1885,81708,13770,61,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,46,50,4,"III-B",255,0,77,1,0,0.301960784,18171,1.1
"9",1873,70181,13170,61,"13170_57_61","Allegheny-Cumberland Dry Oak Forest and Woodland","Hardwood",123,59,15,11,9,18,73,"I-B",186,184,148,0.729411765,0.721568627,0.580392157,15608,0.9
"10",1887,71303,14710,61,"14710_47_48_53_54_57_59_60_61_63","Central Interior and Appalachian Floodplain Systems","Riparian",613,392,121,80,13,21,66,"III-A",0,191,176,0,0.749019608,0.690196078,15857,0.9
"11",11,49031,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,10904,0.6
"12",1876,48241,13210,61,"13210_61_63","South-Central Interior Mesophytic Forest","Hardwood",847,573,102,78,9,14,77,"III-A",71,135,148,0.278431373,0.529411765,0.580392157,10729,0.6
"13",1889,22620,14790,61,"14790_60_61_63_64_65_66","Central Interior and Appalachian Swamp Systems","Riparian",1011,NA,1353,578,57,NA,43,"V-B",207,61,255,0.811764706,0.239215686,1,5031,0.3
"14",1884,7449,13760,61,"13760_48_53_57_61","Southern Ridge and Valley/Cumberland Dry Calcareous Forest","Hardwood",187,109,8,7,4,6,90,"I-B",222,153,122,0.870588235,0.6,0.478431373,1657,0.1
"15",1886,5050,14000,61,"14000_60_61","Central Appalachian Alkaline Glade and Woodland","Savanna",5,19,1583,4,78,21,1,"II-A",255,153,229,1,0.6,0.898039216,1123,0.1
"16",31,2,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,0,0
"17",1871,572,13150,61,"13150_48_53_57_59_61","Southern Appalachian Oak Forest","Hardwood",604,138,16,14,2,10,88,"I-B",181,227,194,0.709803922,0.890196078,0.760784314,127,0
"18",1877,1235,13400,61,"13400_61","Appalachian Shale Barrens","Hardwood",NA,1025,NA,1025,NA,100,NA,"V-B",156,156,156,0.611764706,0.611764706,0.611764706,275,0
"19",1879,3091,13520,61,"13520_53_54_57_59_60_61","Southern Appalachian Montane Pine Forest and Woodland","Conifer",88,101,5,5,6,5,89,"I-A",117,71,197,0.458823529,0.278431373,0.77254902,687,0
